Disease,Count,Prior_Probability
Hypertrophic Cardiomyopathy,1061,0.0022999718193839284
Hemoperitoneum,1051,0.0022782944224057577
Atopic Dermatitis,1024,0.002219765450564696
Bordetella Infection,1018,0.0022067590123777936
Dermatomyositis,995,0.0021569009993280008
Dehydration,963,0.002087533328997854
Feline Infectious Enteritis,938,0.0020333398365524266
Bacterial Dermatitis,930,0.00201599791896989
Anal Gland Inflammation,919,0.001992152782293902
Periodontitis,914,0.001981314083804817
Rabies,914,0.001981314083804817
Intestinal Obstruction,907,0.001966139905920097
Subcutaneous Abscess,903,0.001957468947128829
Staphylococcal Infection,901,0.0019531334677331947
Bite,898,0.0019466302486397433
Urinary Tract Infection (UTI),886,0.0019206173722659382
Urethral Calculi,883,0.001914114153172487
Vomiting of Undetermined Cause,875,0.0018967722355899505
Pelvic Fracture,857,0.0018577529210292427
Giant Bacterial Infection,836,0.001812230387375084
Pending Investigation of Jaundice,836,0.001812230387375084
Urethral Obstruction,832,0.0018035594285838157
Femoral Fracture,830,0.0017992239491881816
Purulent Traumatic Dermatitis,825,0.001788385250699096
Gastric Ulcer,821,0.0017797142919078277
Contusion,816,0.0017688755934187424
Endometritis,802,0.0017385272376493031
FSA,788,0.001708178881879864
Subconjunctival Cyst,787,0.0017060111421820469
Irritable Bowel Syndrome (IBS),786,0.0017038434024842298
Nasolacrimal Duct Obstruction,782,0.0016951724436929613
Anorexia,776,0.0016821660055060588
Chronic Rhinitis,765,0.0016583208688300708
Leukocyte Disorders,765,0.0016583208688300708
Chronic Kidney Disease (CKD),751,0.0016279725130606316
Shock,742,0.001608462855780278
Systemic Inflammatory Response Syndrome (SIRS),730,0.001582449979406473
Giardia lamblia,723,0.0015672758015217532
Pericardial Diseases,720,0.001560772582428302
Flea Bite Dermatitis,718,0.0015564371030326678
Hepatic insufficiency,713,0.0015455984045435825
Developmental Dysplasia of the Hip (DDH),705,0.0015282564869610457
Diabetes Mellitus,704,0.0015260887472632286
Transient Myocardial Hypertrophy,689,0.0014935726517959723
Anal Gland Rupture,687,0.0014892371724003382
Chlamydiosis,687,0.0014892371724003382
Campylobacteriosis,681,0.0014762307342134357
Intestinal Parasite Expulsion,670,0.0014523855975374477
Cough to be Investigated,670,0.0014523855975374477
Peritonitis,669,0.0014502178578396307
Auricular Hematoma,662,0.001435043679954911
Lumbar Spine Fracture,657,0.0014242049814658256
Kidney Disease,637,0.001380850187509484
Chronic Gastritis,637,0.001380850187509484
Feline Rhinotracheitis,636,0.0013786824478116669
Liver failure,635,0.0013765147081138496
Penile Injury,635,0.0013765147081138496
Epilepsy,628,0.00136134053022913
Heatstroke,625,0.0013548373111356789
Gastrointestinal Diseases,613,0.0013288244347618738
External Parasite Control,608,0.0013179857362727884
Thallium Poisoning,604,0.00130931477748152
Dilated Cardiomyopathy,596,0.0012919728598989834
Acute Heart Failure,578,0.0012529535453382758
Tics to be Investigated,572,0.0012399471071513732
Vaccine Allergic Reaction,567,0.0012291084086622878
Excessive Bacterial Proliferation,564,0.0012226051895688366
Intervertebral Disc Spondylitis,559,0.001211766491079751
Bacterial Cystitis,558,0.001209598751381934
Pleural Effusion,551,0.0011944245734972145
Feline Gingivostomatitis (Feline Posterior Stomatitis),550,0.0011922568337993974
Scabies,542,0.0011749149162168606
SCC (Squamous Cell Carcinoma),539,0.0011684116971234094
Pulmonary Hemorrhage,534,0.001157572998634324
Keratitis,530,0.0011489020398430555
Tibia and Fibula Fractures,529,0.0011467343001452385
Viral Infectious Diseases,527,0.0011423988207496043
Babesiosis,522,0.001131560122260519
Pending Investigation of Vomiting,520,0.0011272246428648848
Spinal Stenosis,519,0.0011250569031670678
Canine Parainfluenza Virus Infection,518,0.0011228891634692507
Oral Mucosal Ulcer,513,0.0011120504649801651
Deep Pyoderma,506,0.0010968762870954456
Intestinal Parasite Control,501,0.0010860375886063603
Peripheral Neuropathy,497,0.0010773666298150917
Localized Demodicosis,491,0.0010643601916281893
Feline Panleukopenia (Feline Distemper),489,0.0010600247122325552
Feline Syncytium-Forming Virus Infection,488,0.001057856972534738
Pericardial Disease,485,0.0010513537534412867
Bullous Pemphigoid,482,0.0010448505343478355
Teeth Cleaning,482,0.0010448505343478355
Bite Wound,479,0.0010383473152543842
Entropion,477,0.00103401183585875
Scrotal Dermatitis,475,0.001029676356463116
Mitral Regurgitation,475,0.001029676356463116
Canine Herpesvirus Infection,473,0.0010253408770674818
Asthma,463,0.0010036634800893109
Postpartum Hypocalcemia,457,0.0009906570419024084
Hematuria to be Investigated,456,0.0009884893022045914
Anterior Uveitis,447,0.0009689796449242375
Lung Tumor,445,0.0009646441655286034
Limping to be Investigated,443,0.0009603086861329691
White Spot Disease,442,0.000958140946435152
Tail Docking,434,0.0009407990288526154
Cutaneous Tumors,430,0.0009321280700613471
Tracheitis,428,0.0009277925906657128
Anemia to be Investigated,427,0.0009256248509678958
Mastitis,424,0.0009191216318744445
Polycystic Kidney Disease (PKD),418,0.000906115193687542
Diarrhea,411,0.0008909410158028224
Otitis,410,0.0008887732761050053
Idiopathic Facial Nerve Paralysis,399,0.0008649281394290173
Pleural Effusion Under Investigation,396,0.0008584249203355661
Corneal Injury/Irritation,394,0.000854089440939932
Avascular Necrosis of the Femoral Head,393,0.0008519217012421149
Bacterial Pneumonia,390,0.0008454184821486636
Traumatic Brain Injury (TBI),382,0.0008280765645661269
Otitis interna,381,0.0008259088248683098
Metacarpal Fracture,381,0.0008259088248683098
Traumatic Injury to Collaterals,376,0.0008150701263792243
Pre-excitation Syndrome,370,0.0008020636881923219
Self-inflicted Dermatitis,368,0.0007977282087966877
Biliary Hepatitis Syndrome,360,0.000780386291214151
Radius and Ulna Fracture,359,0.0007782185515163339
Coccidioidomycosis,359,0.0007782185515163339
Myeloproliferative Disorders,355,0.0007695475927250656
Taeniasis,350,0.0007587088942359802
Chronic Pancreatitis,350,0.0007587088942359802
Acute Respiratory Distress Syndrome (ARDS),346,0.0007500379354447118
Eyelid Mass,345,0.0007478701957468947
Hypothermia,337,0.000730528278164358
Cataract,335,0.0007261927987687239
Panuveitis,332,0.0007196895796752725
Hepatic failure,330,0.0007153541002796384
Prostatic Cyst,327,0.0007088508811861872
Subcutaneous Hematoma,327,0.0007088508811861872
Sporotrichosis,326,0.0007066831414883701
Proctitis,325,0.000704515401790553
Difficulty in Breathing Under Investigation,325,0.000704515401790553
Food Allergy,325,0.000704515401790553
Bacterial Infectious Diseases,321,0.0006958444429992846
Hypoproteinemia,321,0.0006958444429992846
Hematochezia Under Investigation,319,0.0006915089636036505
Bone Disease,317,0.0006871734842080163
Conical/Spherical Crystal,317,0.0006871734842080163
Traumatic injury to the collaterals,316,0.0006850057445101992
Phalangeal Fracture,312,0.0006763347857189309
Pulmonary Heart Disease,312,0.0006763347857189309
Miscarriage,312,0.0006763347857189309
Eczema,312,0.0006763347857189309
Linear Foreign Body,308,0.0006676638269276625
Posterior Cruciate Ligament Rupture,307,0.0006654960872298454
Oral Trauma,306,0.0006633283475320284
Dystocia,305,0.0006611606078342113
Oral Mucosal Ulceration,305,0.0006611606078342113
Hirschsprung's disease,302,0.00065465738874076
Intestinal Parasitosis,302,0.00065465738874076
Arterial Thrombosis,300,0.0006503219093451258
Femoral Head/Neck Fracture,299,0.0006481541696473087
Hyperlipidemia,297,0.0006438186902516746
Sepsis,295,0.0006394832108560404
Iliopsoas Muscle Injury,295,0.0006394832108560404
Lymphadenitis,293,0.0006351477314604062
Hepatomegaly,291,0.0006308122520647721
Pneumothorax,290,0.000628644512366955
Liver Tumor,289,0.0006264767726691379
Optic Neuritis,289,0.0006264767726691379
Acute Hepatitis,286,0.0006199735535756866
Immunologically Mediated Hemolytic Anemia,283,0.0006134703344822354
Pulmonary Contusion,279,0.000604799375690967
Cryptorchidism,277,0.0006004638962953328
Gastrointestinal Disorders,276,0.0005982961565975158
Thrombocytopenia,275,0.0005961284168996987
Bladder Diseases,270,0.0005852897184106132
Brachial Plexus Injury,268,0.0005809542390149791
Ovarian Cyst,266,0.000576618759619345
Cervical Vertebral Myelopathy,264,0.0005722832802237107
Hypertension,262,0.0005679478008280766
Hematemesis,258,0.0005592768420368083
Hyperkalemia,248,0.0005375994450586373
Eosinophilic Granulomatosis with Polyangiitis (EGPA),248,0.0005375994450586373
Intestinal Tumors,247,0.0005354317053608203
Degenerative Mitral Valve Disease,247,0.0005354317053608203
Lymphoma,247,0.0005354317053608203
Drug Poisoning,243,0.000526760746569552
Endophthalmitis,241,0.0005224252671739177
Wrist Fracture/Dislocation,240,0.0005202575274761007
Vaginitis,240,0.0005202575274761007
Prostatitis,238,0.0005159220480804665
Oral-facial fistula,238,0.0005159220480804665
Tracheal stenosis,237,0.0005137543083826494
Distal Femoral Intercondylar Fracture,237,0.0005137543083826494
Neurotrophic Dry Eye Syndrome,237,0.0005137543083826494
Corneal Perforation,234,0.0005072510892891981
Benign Prostatic Hyperplasia (BPH),233,0.000505083349591381
Joint Dislocation,231,0.0005007478701957469
Degenerative Disc Disease,231,0.0005007478701957469
Cholangitis,230,0.0004985801304979298
Tracheal collapse,229,0.0004964123908001128
Keratotic and Seborrheic Dermatoses,228,0.0004942446511022957
Underweight to be Investigated,228,0.0004942446511022957
Nasal Bleeding,227,0.0004920769114044785
Parasitic Dermatoses,227,0.0004920769114044785
Eosinophilic Granuloma,224,0.0004855736923110273
Azotemia,223,0.0004834059526132102
Blepharitis,221,0.000479070473217576
Airway Tumor,219,0.0004747349938219419
Chronic Sinusitis,219,0.0004747349938219419
Tendon Rupture,219,0.0004747349938219419
Hyper-viscosity Syndrome,218,0.00047256725412412476
Excessive Hair Removal,218,0.00047256725412412476
Biliary Mucinous Cystadenoma,216,0.0004682317747284906
Chronic Heart Failure,216,0.0004682317747284906
Fibrous Dysplasia of Bone,214,0.0004638962953328564
Corneal Abscess,212,0.00045956081593722227
Cellulitis,210,0.0004552253365415881
Nephrotic Syndrome,210,0.0004552253365415881
Inert Corneal Ulcer,209,0.000453057596843771
Cardiorenal Syndrome,209,0.000453057596843771
Inguinal Hernia,209,0.000453057596843771
Proptosis,208,0.00045088985714595393
Gastric dilatation,208,0.00045088985714595393
Chronic Otitis Externa,205,0.00044438663805250266
Viral Pneumonia,204,0.0004422188983546856
Pyelonephritis,202,0.0004378834189590514
Caudectomy,202,0.0004378834189590514
Suppurative Arthritis,200,0.00043354793956341725
Tooth Fracture,199,0.0004313801998656001
Protrusion of the Third Eyelid,197,0.000427044720469966
Splenic Tumor,196,0.00042487698077214885
Abdominal Wall Hernia,195,0.0004227092410743318
Parvoviral Enteritis,194,0.0004205415013765147
Superficial Corneal Ulcer,194,0.0004205415013765147
Hypocalcemia,193,0.00041837376167869764
Eyelid Trauma,193,0.00041837376167869764
Mammary Hyperplasia,193,0.00041837376167869764
Perineal Hernia,190,0.00041187054258524637
Under Investigation for Neurological Disorders,190,0.00041187054258524637
Gastrointestinal Obstruction,189,0.0004097028028874293
Splenomegaly,189,0.0004097028028874293
Aspiration Pneumonia,189,0.0004097028028874293
Ascites to be Investigated,187,0.0004053673234917951
Eosinophilic Dermatitis,186,0.00040319958379397803
Feline Triaditis,185,0.00040103184409616096
Arthritis (Degenerative Joint Disease),185,0.00040103184409616096
Cyclosporiasis,185,0.00040103184409616096
Renal Cyst,184,0.00039886410439834383
Pharyngitis,183,0.00039669636470052676
Bacterial Furunculosis,182,0.0003945286250027097
Apical Periodontal Abscess,182,0.0003945286250027097
Uterine Diseases,181,0.00039236088530489256
Viral Meningoencephalitis,180,0.0003901931456070755
Endocrine Dermatoses,179,0.0003880254059092584
Hip Dislocation,179,0.0003880254059092584
Miliary Dermatitis,178,0.00038585766621144135
Deficiency of Kidney Yang,178,0.00038585766621144135
Mandibular Abscess (Rodent),178,0.00038585766621144135
Mandibular Fracture,178,0.00038585766621144135
Epidural Tumor,178,0.00038585766621144135
Candidiasis,177,0.0003836899265136242
Corneal Sequestrum (Necrotizing Keratitis),176,0.00038152218681580715
Tricuspid Regurgitation,176,0.00038152218681580715
Gallstones,175,0.0003793544471179901
Intestinal Lymphoma,175,0.0003793544471179901
Upper Cold and Lower Heat,175,0.0003793544471179901
Anterior Cruciate Ligament Rupture,174,0.000377186707420173
Renal enlargement,174,0.000377186707420173
Acute Otitis Externa,172,0.0003728512280245388
Mastocytoma,172,0.0003728512280245388
Thoracic Vertebral Fracture,170,0.00036851574862890467
Traumatic Disc Herniation,170,0.00036851574862890467
Ocular Diseases,169,0.00036634800893108754
Mediastinal Mass,169,0.00036634800893108754
Myasthenia Gravis,166,0.00035984478983763627
Intussusception,164,0.00035550931044200213
Glaucoma,163,0.00035334157074418506
Pending Investigation for Jaundice,163,0.00035334157074418506
Lipoma,163,0.00035334157074418506
Viral Conjunctivitis,162,0.00035117383104636793
Umbilical Hernia,160,0.0003468383516507338
Intestinal Qi Stagnation,159,0.0003446706119529167
Humeral Fracture,158,0.0003425028722550996
Claw Dermatitis,158,0.0003425028722550996
SCC,157,0.0003403351325572825
Multiple Organ Dysfunction Syndrome (MODS),156,0.00033816739285946545
Hookworm disease,155,0.0003359996531616483
Systemic Demodicosis,155,0.0003359996531616483
Spleen Tumor,154,0.00033383191346383125
Edema Disease,153,0.0003316641737660142
Radius Fracture,151,0.00032732869437038
Gingival Defect,150,0.0003251609546725629
Food Poisoning,150,0.0003251609546725629
Polyradiculitis,150,0.0003251609546725629
Perianal Tumor,150,0.0003251609546725629
Immune-mediated diseases,150,0.0003251609546725629
Hypokalemia,149,0.00032299321497474584
Exfoliation of the nail plate,149,0.00032299321497474584
Rectal Prolapse,149,0.00032299321497474584
Drug Reaction,148,0.00032082547527692877
Oral Tumors,147,0.00031865773557911164
Renal atrophy,147,0.00031865773557911164
Renal agenesis,146,0.00031648999588129457
Urethral Stricture,145,0.0003143222561834775
Uterine Tumor,145,0.0003143222561834775
Tooth Resorption,143,0.0003099867767878433
Stool with Blood for Examination,143,0.0003099867767878433
Pericardial Effusion,142,0.00030781903709002623
Ptosis of the Upper Eyelid,142,0.00030781903709002623
Rib Fracture,141,0.00030565129739220916
Bladder Polyp,140,0.00030348355769439203
Idiopathic Epilepsy,140,0.00030348355769439203
Feline Eosinophilic Granuloma,140,0.00030348355769439203
Pseudopregnancy,139,0.00030131581799657496
Blastomycosis,139,0.00030131581799657496
Small Intestinal Bacterial Overgrowth (SIBO),139,0.00030131581799657496
Foreign Body in the Ear Canal,139,0.00030131581799657496
Muscular Atrophy/Muscular Dystrophy,138,0.0002991480782987579
Infectious Meningomyelitis,138,0.0002991480782987579
Allergic Rhinitis,136,0.0002948125989031237
Biliary Vomiting Syndrome,136,0.0002948125989031237
Uterine bleeding,136,0.0002948125989031237
Esophagitis,136,0.0002948125989031237
Coccyx Fracture,135,0.0002926448592053066
Diaphragmatic Hernia,135,0.0002926448592053066
Hypothyroidism,134,0.00029047711950748955
Feline Syncytium Virus Infection,134,0.00029047711950748955
Cushing's Syndrome / Hyperadrenocorticism,134,0.00029047711950748955
Canine Infectious Tracheobronchitis,134,0.00029047711950748955
Ehrlichiosis,133,0.0002883093798096725
Food Stagnation in the Gastrointestinal Tract,133,0.0002883093798096725
Gingival Hyperplasia,132,0.00028614164011185535
Coronavirus Enteritis,132,0.00028614164011185535
Pain Under Investigation,131,0.0002839739004140383
Epidermoid Cyst,130,0.0002818061607162212
Pyogenic Granulomatous Dermatitis,129,0.00027963842101840414
"Miscarriage, Termination of Pregnancy",129,0.00027963842101840414
Cleft Lip,128,0.000277470681320587
Ischial Fracture,127,0.00027530294162276994
Nystagmus,127,0.00027530294162276994
Myocarditis,127,0.00027530294162276994
Tarsal Fracture,124,0.00026879972252931867
Cushing's Neuropathy,122,0.0002644642431336845
Parasitic Enteritis,122,0.0002644642431336845
Conjunctival Hemorrhage,122,0.0002644642431336845
Infectious Myositis,121,0.0002622965034358674
Sole Bruise,121,0.0002622965034358674
Endocrine and Metabolic Diseases,120,0.00026012876373805033
Distal Femoral Metaphyseal Fracture,119,0.00025796102404023326
Rupture of the bladder,119,0.00025796102404023326
Flexor and Extensor Tendon Injuries,119,0.00025796102404023326
Rupture of the Extensor Digitorum Longus Tendon,118,0.0002557932843424162
Mosquito and Fly Bite Dermatitis,118,0.0002557932843424162
Purulent Accumulation in the Preputial Sac,116,0.000251457804946782
Fibrous Dysplasia,116,0.000251457804946782
Otorhinolaryngological Disorders,116,0.000251457804946782
Cervical Spine Fracture,115,0.0002492900652489649
Burn,115,0.0002492900652489649
Winter Temperature,115,0.0002492900652489649
Rupture of the collateral ligament,114,0.00024712232555114784
Bacterial Conjunctivitis,114,0.00024712232555114784
Chylothorax,114,0.00024712232555114784
Corneal opacity,113,0.0002449545858533307
Onion Poisoning,113,0.0002449545858533307
Acromegaly,113,0.0002449545858533307
Perianal Fistula,113,0.0002449545858533307
Pediculosis,113,0.0002449545858533307
Esophageal Foreign Body,113,0.0002449545858533307
Immune-Mediated Thrombocytopenia,113,0.0002449545858533307
Exophthalmos,112,0.00024278684615551365
Tooth Avulsion (Extrusion from Alveolar Socket),111,0.00024061910645769655
Primary Secretory Otitis Media,110,0.00023845136675987948
Feline Dermatophytosis,110,0.00023845136675987948
Horner's Syndrome,110,0.00023845136675987948
Diabetic Ketoacidosis,109,0.00023628362706206238
Meibomian Gland Inflammation,109,0.00023628362706206238
Anal Prolapse,109,0.00023628362706206238
Pulmonary Arterial Regurgitation,109,0.00023628362706206238
Intestinal deworming,108,0.0002341158873642453
Pancreatic Cyst,108,0.0002341158873642453
Ear Canal Hyperplasia,108,0.0002341158873642453
Distal Humeral Intercondylar Fracture,108,0.0002341158873642453
Chlamydial Conjunctivitis,108,0.0002341158873642453
Bacterial Poditis,108,0.0002341158873642453
Salivary Gland Cyst,107,0.0002319481476664282
Bladder Tumor,107,0.0002319481476664282
Corneal Penetrating Injury,107,0.0002319481476664282
Hyporexia/Anorexia to be Investigated,107,0.0002319481476664282
Muscular Disorders,107,0.0002319481476664282
Degenerative and Hyperplastic Osteoarthritis,107,0.0002319481476664282
Cachexia,106,0.00022978040796861114
Mitral Valve Dysplasia,106,0.00022978040796861114
Hansen Type II Disc Herniation,106,0.00022978040796861114
Iliosacral Dislocation,106,0.00022978040796861114
Leukemia,106,0.00022978040796861114
Nocturnal Enuresis,105,0.00022761266827079404
Vertebral Fracture and Dislocation,105,0.00022761266827079404
Pyrethrin and Pyrethroid Poisoning,105,0.00022761266827079404
Balanoposthitis,105,0.00022761266827079404
Brain Diseases,104,0.00022544492857297697
Limping Under Investigation,104,0.00022544492857297697
Empyema,104,0.00022544492857297697
Diseases of Electrolyte Imbalance,103,0.00022327718887515987
Polycythemia,103,0.00022327718887515987
Excessive Summer Heat Invasion,103,0.00022327718887515987
Protrusion of the Third Eyelid Gland,103,0.00022327718887515987
Pulmonary Parasites,103,0.00022327718887515987
Hyphema,102,0.0002211094491773428
Seroma,102,0.0002211094491773428
Central Vestibular Syndrome,102,0.0002211094491773428
Painless ulcer,102,0.0002211094491773428
Class IV Malocclusion,102,0.0002211094491773428
Shoulder Dislocation,102,0.0002211094491773428
Hair Follicle Cyst,102,0.0002211094491773428
Testicular Tumor,101,0.0002189417094795257
Exocrine Pancreatic Insufficiency (EPI),101,0.0002189417094795257
Ilium Body Fracture,101,0.0002189417094795257
Ulnar Fracture,101,0.0002189417094795257
Hyperphosphatemia,98,0.00021243849038607443
Inflammatory hepatobiliary diseases,97,0.00021027075068825736
Breast Diseases,97,0.00021027075068825736
Neosporosis,97,0.00021027075068825736
Blood and Immune System Diseases,97,0.00021027075068825736
Electrolyte Imbalance Disorders,96,0.00020810301099044026
Orchitis,96,0.00020810301099044026
Osteochondrodysplasia,95,0.00020593527129262319
Zinc Phosphide Poisoning,95,0.00020593527129262319
Acetabular fossa fracture,95,0.00020593527129262319
Acute Abdomen,94,0.0002037675315948061
Fetal Death,94,0.0002037675315948061
Zygomatic Gland Cyst,94,0.0002037675315948061
Adenocarcinoma,94,0.0002037675315948061
Bronchiectasis,93,0.00020159979189698902
Ureteral Calculi,92,0.00019943205219917192
Vaginal Hyperplasia,92,0.00019943205219917192
Chronic Hepatitis,92,0.00019943205219917192
Intraocular Foreign Body,92,0.00019943205219917192
Hyperbilirubinemia,91,0.00019726431250135484
Foreign Body in the Esophagus,91,0.00019726431250135484
Hypertrophic Osteodystrophy,91,0.00019726431250135484
Hydronephrosis,91,0.00019726431250135484
Autonomic Nervous System Dysfunction,90,0.00019509657280353775
Ulcerative Otitis Externa,89,0.00019292883310572067
Nasopharyngeal Stenosis,89,0.00019292883310572067
Hypovolemia,89,0.00019292883310572067
Ivermectin Poisoning,88,0.00019076109340790358
Nasal Cavity Tumor,88,0.00019076109340790358
Tic Disorder Under Investigation,87,0.0001885933537100865
Pending Investigation of Hematuria,87,0.0001885933537100865
Perianal adenoma,87,0.0001885933537100865
Congenital Hydrocephalus,87,0.0001885933537100865
Complex Corneal Ulcer,86,0.0001864256140122694
Subcutaneous Emphysema,86,0.0001864256140122694
Cheilitis,86,0.0001864256140122694
Hepatic Yang Hyperactivity,86,0.0001864256140122694
Elbow Dislocation,86,0.0001864256140122694
Hypotension,85,0.00018425787431445233
Osteochondrosis,85,0.00018425787431445233
Pulmonary Embolism,85,0.00018425787431445233
Gastroesophageal Reflux,85,0.00018425787431445233
Naso-orbital fistula,85,0.00018425787431445233
Oral Foreign Body,84,0.00018209013461663524
Toxoplasmosis,84,0.00018209013461663524
Infectious Venereal Tumor,84,0.00018209013461663524
Orbital Abscess,84,0.00018209013461663524
Dermoid Cyst,84,0.00018209013461663524
Conjunctival Injury,84,0.00018209013461663524
Feline Atopic Syndrome,84,0.00018209013461663524
Skull Fracture,84,0.00018209013461663524
Joint and Ligament Diseases,84,0.00018209013461663524
Intestinal colic,84,0.00018209013461663524
Allergic Conjunctivitis,83,0.00017992239491881814
To Be Investigated for Neurological Disorders,83,0.00017992239491881814
Coagulation Disorders,83,0.00017992239491881814
Complex Congenital Heart Disease,83,0.00017992239491881814
Hyperviscosity Syndrome,83,0.00017992239491881814
Male Dog Infertility,83,0.00017992239491881814
**Demodex**,83,0.00017992239491881814
Aortic Regurgitation,83,0.00017992239491881814
Malignant Edema,83,0.00017992239491881814
Lymphocytosis,83,0.00017992239491881814
Epistaxis,82,0.00017775465522100106
External Genital Diseases,82,0.00017775465522100106
Hyperuricemia,82,0.00017775465522100106
Iliac Body Fracture,82,0.00017775465522100106
Cold Intestinal Diarrhea,80,0.0001734191758253669
Overgrown Molars,80,0.0001734191758253669
Double Outlet Right Ventricle (DORV),80,0.0001734191758253669
Acute Fulminant Hepatic Failure,80,0.0001734191758253669
Rubella,79,0.0001712514361275498
Sialadenitis/Sialectasis/Salivary Gland Necrosis,79,0.0001712514361275498
Weakness of the Heart Yang,78,0.00016908369642973272
Vaginal Tumors,78,0.00016908369642973272
Microcrystalline,78,0.00016908369642973272
Ureteral dilation,78,0.00016908369642973272
Neurogenic Self-induced Alopecia,78,0.00016908369642973272
Orbital Emphysema/Hematoma,78,0.00016908369642973272
Pulmonary Arterial Hypertension,77,0.00016691595673191563
Investigation of Bloody Stool,77,0.00016691595673191563
Class I Malocclusion,77,0.00016691595673191563
Growth Plate Fracture,77,0.00016691595673191563
Arrhythmogenic Right Ventricular Cardiomyopathy (ARVC),76,0.00016474821703409855
Bladder Trauma,76,0.00016474821703409855
Hepatic Encephalopathy,76,0.00016474821703409855
Decreased or Absent Appetite Under Investigation,76,0.00016474821703409855
Streptococcosis,75,0.00016258047733628146
Interdigital Furunculosis,75,0.00016258047733628146
