Symptom1,Symptom2,Count
Lymphadenopathy,Scratch the eyes,31
Lymphadenopathy,Nasal discharge,70
Lymphadenopathy,Sneezing,197
Lymphadenopathy,Ulceration,92
Lymphadenopathy,Melena,61
Lymphadenopathy,Mental depression,829
Lymphadenopathy,Oral Bleeding,76
Lymphadenopathy,Reduced food intake,214
Lymphadenopathy,Vomiting,351
Lymphadenopathy,Mania,1
Lymphadenopathy,Oily ear discharge,8
Lymphadenopathy,Runny nose,135
Lymphadenopathy,Salivation,104
Lymphadenopathy,Muscle Spasm,3
Lymphadenopathy,Progressive Arthritis,2
Lymphadenopathy,Oral Ulcer,21
Lymphadenopathy,Mental retardation,1
Lymphadenopathy,Polyuria,32
Lymphadenopathy,Skeletal Deformation,4
Lymphadenopathy,Rubbing the buttocks,7
Lymphadenopathy,Swelling at the base of the penis,95
Lymphadenopathy,Pustule,138
Lymphadenopathy,Paralysis of the hind limbs,45
Lymphadenopathy,Purulent ocular discharge,109
Lymphadenopathy,Pupillary white discharge,11
Lymphadenopathy,Weight loss,37
Lymphadenopathy,Scab Formation,72
Lymphadenopathy,No Urination,15
Lymphadenopathy,Reduced Urination,23
Lymphadenopathy,Urinary Incontinence,50
Lymphadenopathy,Pain,50
Lymphadenopathy,Respiratory Deficiency,28
Lymphadenopathy,Skin Wound,106
Lymphadenopathy,Shortness of Breath,8
Lymphadenopathy,Shortness of breath,73
Lymphadenopathy,Oral Malodor,42
Lymphadenopathy,Nystagmus,153
Lymphadenopathy,Pale visible mucosa,87
Lymphadenopathy,Papule,31
Lymphadenopathy,Soft Stool,49
Lymphadenopathy,Scratching the eyes,20
Lymphadenopathy,Skin Inflammation,6
Lymphadenopathy,Purulent nasal discharge,5
Lymphadenopathy,Muscle Atrophy,39
Lymphadenopathy,No defecation,89
Lymphadenopathy,Skin redness,17
Lymphadenopathy,Reduced water intake,44
Lymphadenopathy,Visible mucosal cyanosis,154
Lymphadenopathy,Wiping the buttocks,5
Lymphadenopathy,Redness of the chin skin,6
Lymphadenopathy,Purulent ear discharge,72
Lymphadenopathy,Reduced physical activity,147
Lymphadenopathy,Stenosis of the nostrils,2
Lymphadenopathy,Whether the muscle atrophies,2
Lymphadenopathy,Mucosal Hemorrhage,43
Lymphadenopathy,Purulent Nasal Discharge (Nasal Discharge),20
Lymphadenopathy,Skin Odor,15
Lymphadenopathy,Neurological symptoms (such as convulsions),2
Lymphadenopathy,Nasal speculum dryness and cracking,8
Lymphadenopathy,Stiffness and difficulty in movement after prolonged lying down or upon getting up,11
Lymphadenopathy,Unable to stand,6
Lymphadenopathy,"The head is held high, unwilling to bow down.",30
Lymphadenopathy,Neurological symptoms (such as seizures),12
Lymphadenopathy,Skin laxity and loss of elasticity,13
Lymphadenopathy,Syncope,12
Lymphadenopathy,The head is held high and refuses to bow down.,3
Lymphadenopathy,Skin Bruising,65
Lymphadenopathy,Tic,18
Lymphadenopathy,Ulcer,11
Lymphadenopathy,"Most of the time, maintain a sitting or lying down position.",2
Lymphadenopathy,Weakness in the limbs or forelimbs and hindlimbs,34
Lymphadenopathy,Nasal stenosis,43
Lymphadenopathy,Mouth Breathing (Cat),8
Lymphadenopathy,Pica,15
Lymphadenopathy,Weakness in the limbs,9
Lymphadenopathy,Pupillary dilation,8
Lymphadenopathy,Pupillary White Discharge,5
Lymphadenopathy,The head is held high and unwilling to bow down.,5
Lymphadenopathy,Weight Fluctuation,28
Lymphadenopathy,Tilted head,7
Lymphadenopathy,Respiratory Deficit,1
Lymphadenopathy,Stenosis of the nasal aperture,12
Lymphadenopathy,Redness and swelling,13
Lymphadenopathy,Nodule,20
Lymphadenopathy,Stomatitis,11
Lymphadenopathy,Spinning in circles,7
Lymphadenopathy,Visible mucosal icterus,4
Lymphadenopathy,Pigmentation,19
Lymphadenopathy,Skin Swelling,18
Lymphadenopathy,Nasal Stenosis,6
Lymphadenopathy,Reflux,14
Lymphadenopathy,Tenesmus,1
Lymphadenopathy,Small mass,1
Lymphadenopathy,Shaking Head and Scratching Ears,14
Lymphadenopathy,Skin laxity and lack of elasticity,13
Lymphadenopathy,Scrotal erythema,3
Lymphadenopathy,Swelling and redness,2
Lymphadenopathy,Photophobia,1
Lymphadenopathy,Thickening and roughening of the skin,8
Lymphadenopathy,Unpleasant Skin Odor,4
Lymphadenopathy,Swelling,27
Lymphadenopathy,Painful swallowing,2
Lymphadenopathy,Thickening of the skin,5
Lymphadenopathy,Shock,2
Lymphadenopathy,Palpation reveals a fluctuant sensation.,10
Lymphadenopathy,Sialorrhea,3
Lymphadenopathy,Watery stool,4
Lymphadenopathy,Quadriplegia,7
Lymphadenopathy,Sparse hair,8
Lymphadenopathy,Purulent discharge from the vagina,6
Lymphadenopathy,Vaginal discharge,9
Lymphadenopathy,There are black spots under the chin.,6
Lymphadenopathy,Oliguria or Anuria,4
Lymphadenopathy,Pale skin or mucous membranes,1
Lymphadenopathy,Superficial Lymph Node Enlargement,14
Lymphadenopathy,Weakness,2
Lymphadenopathy,Weakness of the limbs,8
Lymphadenopathy,Uterine Prolapse,8
Lymphadenopathy,Miscarriage,3
Lymphadenopathy,Perianal Pain,5
Lymphadenopathy,Ulcerative Keratitis,3
Lymphadenopathy,On tiptoe,1
Lymphadenopathy,Oral Pain,4
Lymphadenopathy,Mass Lesion,1
Lymphadenopathy,Salivate,5
Lymphadenopathy,Undescended Testicle,4
Lymphadenopathy,Oily Ear Discharge,10
Lymphadenopathy,Skin damage,1
Lymphadenopathy,Nasal Bleeding,4
Lymphadenopathy,Mucosal Ulcer,3
Lymphadenopathy,Proptosis of the eyeball,1
Lymphadenopathy,Mass lesion,1
Lymphadenopathy,Pupillary constriction,8
Lymphadenopathy,Ravenous appetite,5
Lymphadenopathy,Purulent ocular discharge (purulent eye),3
Lymphadenopathy,Reduced urination,2
Lymphadenopathy,Purplish tongue,2
Lymphadenopathy,Unable to lift one's head when bowing down.,3
Lymphadenopathy,Oral Ulcer on the Tongue Surface,2
Lymphadenopathy,Purulent intracanalicular discharge,6
Lymphadenopathy,Massive hemorrhagic diarrhea occurred.,2
Lymphadenopathy,Mild skin fissures,3
Lymphadenopathy,Motor Dyscoordination,2
Lymphadenopathy,Mucinous stool,3
Lymphadenopathy,On tiptoes,3
Lymphadenopathy,Presence or absence of lameness,1
Lymphadenopathy,Proglottids expelled with feces,1
Lymphadenopathy,Rash,10
Lymphadenopathy,Rectal Prolapse,3
Lymphadenopathy,Restlessness and Straining,2
Lymphadenopathy,Salivation and fecal and urinary incontinence,2
Lymphadenopathy,Scales,3
Lymphadenopathy,Skin injury,5
Lymphadenopathy,Squamous Patch,3
Lymphadenopathy,Stiff Gait,1
Lymphadenopathy,Stiff limbs and lameness,1
Lymphadenopathy,Swelling at the affected area,1
Lymphadenopathy,Swelling of the Distal Joint,1
Lymphadenopathy,Swelling under the eyes,2
Lymphadenopathy,"The affected dog extends the affected limb away from the body while sitting, adopting a slightly relaxed posture.",1
Lymphadenopathy,The feces are coated with mucus.,2
Lymphadenopathy,The feces are hard and dry.,2
Lymphadenopathy,The limbs exhibit a swimming motion.,1
Lymphadenopathy,There are black spots the size of sesame seeds on the skin.,7
Lymphadenopathy,Tremor of the head,2
Lymphadenopathy,Urine appears yellow to dark brown.,2
Lymphadenopathy,Watery Diarrhea,2
Lymphadenopathy,Weakness in the limbs or in the forelimbs and hindlimbs,1
Lymphadenopathy,Skin Itching,4
Lymphadenopathy,Pale visible mucous membranes,1
Lymphadenopathy,Reaction to Rapidly Approaching Objects,7
Lymphadenopathy,Unable to lift one's head when looking down.,4
Lymphadenopathy,Petechiae,3
Lymphadenopathy,Whether the muscles have atrophied,2
Lymphadenopathy,Rhinitis sicca,3
Lymphadenopathy,Oliguria,7
Lymphadenopathy,"Most of the time, maintain a sitting or lying down posture.",2
Lymphadenopathy,Palpation elicits crepitus.,1
Lymphadenopathy,Thoracic breathing,4
Lymphadenopathy,Skin Injury,3
Lymphadenopathy,The tail fur has become very greasy.,2
Lymphadenopathy,Stenosis of the nasal passages,1
Lymphadenopathy,Ocular Abnormalities,3
Lymphadenopathy,Ulcerative Infection,5
Lymphadenopathy,Whether the muscles are atrophied,1
Lymphadenopathy,Powerlessness,1
Lymphadenopathy,The color of the fur on the dorsal side of the tail has darkened to a deep brown.,3
Lymphadenopathy,The tail hair has become very greasy.,2
Lymphadenopathy,Mucopurulent ocular discharge,3
Lymphadenopathy,Mouth breathing,2
Lymphadenopathy,Painless ulcer,1
Lymphadenopathy,Mucosal cyanosis,1
Lymphadenopathy,Patchy areas,1
Lymphadenopathy,Petechia,2
Lymphadenopathy,Thickening and Coarsening of the Skin,3
Lymphadenopathy,Plaque,1
Lymphadenopathy,Skin itching,1
Lymphadenopathy,Mouth Breathing,1
Lymphadenopathy,Scratching one's ears,3
Lymphadenopathy,The entire external auditory canal is obstructed by a mass.,1
Lymphadenopathy,Visible mucous membrane hyperemia,1
Lymphadenopathy,Skin thickening,1
Lymphadenopathy,Oral Hemorrhagic Secretions,1
Lymphadenopathy,Miliary Dermatitis,1
Lymphadenopathy,Mucosal Ulceration,1
Lymphadenopathy,Nasal discharge resembling frothy fluid,1
Lymphadenopathy,Oral Bloody Secretions,1
Lymphadenopathy,Oral Ulcer on the Dorsum of the Tongue,1
Lymphadenopathy,Scratching the ears,1
Lymphadenopathy,Serous Nasal Discharge,1
Lymphadenopathy,Shallow and rapid breathing,1
Lymphadenopathy,Sinusitis,1
Lymphadenopathy,Skin Ulcer Scar,1
Lymphadenopathy,Tilt the head to one side,1
Lymphadenopathy,Unpleasant Odor in the Ear,1
Lymphadenopathy,Vomit can emit phosphorescence in the dark.,1
Lymphadenopathy,Progressive emaciation,1
Mental depression,Vomiting,26182
Mental depression,No Urination,750
Mental depression,Runny nose,2154
Mental depression,Sneezing,3103
Mental depression,No defecation,3490
Mental depression,Reduced food intake,6303
Mental depression,Tic,1136
Mental depression,Purulent ocular discharge,1288
Mental depression,Skin redness and swelling,724
Mental depression,Ulcerative Keratitis,12
Mental depression,Salivation,2810
Mental depression,Paralysis of the hind limbs,796
Mental depression,Shortness of breath,1967
Mental depression,Vaginal discharge,89
Mental depression,Mucosal Ulcer,17
Mental depression,Ocular Abnormalities,37
Mental depression,Swelling at the base of the penis,386
Mental depression,Visible mucosal icterus,314
Mental depression,Urinary Incontinence,1062
Mental depression,Pica,575
Mental depression,Oliguria or Anuria,507
Mental depression,Soft Stool,2326
Mental depression,Reduced Urination,1066
Mental depression,Nystagmus,517
Mental depression,Pupillary dilation,118
Mental depression,Syncope,210
Mental depression,Scab Formation,256
Mental depression,Wiping the buttocks,47
Mental depression,Pigmentation,93
Mental depression,Weakness in the limbs or forelimbs and hindlimbs,894
Mental depression,Skin laxity and loss of elasticity,297
Mental depression,Shortness of Breath,106
Mental depression,Reduced water intake,1327
Mental depression,Skin Wound,801
Mental depression,Respiratory Deficiency,117
Mental depression,Mucosal Hemorrhage,780
Mental depression,Oral Malodor,387
Mental depression,Skin Bruising,481
Mental depression,Purulent Nasal Discharge (Nasal Discharge),336
Mental depression,Polyuria,657
Mental depression,Sialorrhea,104
Mental depression,Polydipsia and Polyuria,608
Mental depression,Pale visible mucosa,1354
Mental depression,Muscle Atrophy,241
Mental depression,Pustule,385
Mental depression,Swelling,59
Mental depression,Scratching the eyes,78
Mental depression,Nasal Bleeding,61
Mental depression,Mouth breathing,163
Mental depression,Pain,552
Mental depression,Weight Fluctuation,210
Mental depression,Weakness in the limbs,363
Mental depression,"The head is held high, unwilling to bow down.",183
Mental depression,Watery stool,261
Mental depression,Shaking Head and Scratching Ears,118
Mental depression,Nasal discharge,1416
Mental depression,Quadriplegia,119
Mental depression,Shallow and rapid breathing,12
Mental depression,Visible mucosal cyanosis,578
Mental depression,Rash,26
Mental depression,Tilted head,170
Mental depression,Unable to lift one's head when looking down.,70
Mental depression,Oliguria,350
Mental depression,Shock,213
Mental depression,Oral Bleeding,650
Mental depression,Unable to stand,125
Mental depression,Neurological symptoms (such as seizures),191
Mental depression,Reflux,83
Mental depression,The head is held high and refuses to bow down.,29
Mental depression,Swelling and redness,15
Mental depression,Mouth Breathing (Cat),185
Mental depression,Stomatitis,33
Mental depression,Weight loss,742
Mental depression,Undescended Testicle,46
Mental depression,Watery Diarrhea,291
Mental depression,Ravenous appetite,117
Mental depression,Purulent ear discharge,484
Mental depression,Unpleasant Odor in the Ear,9
Mental depression,Nasal speculum dryness and cracking,160
Mental depression,Weakness,151
Mental depression,Nasal stenosis,245
Mental depression,Salivate,174
Mental depression,Stenosis of the nasal aperture,61
Mental depression,Ulcer,39
Mental depression,Skin laxity and lack of elasticity,305
Mental depression,Reduced physical activity,792
Mental depression,Stiff Gait,25
Mental depression,Stiffness and difficulty in movement after prolonged lying down or upon getting up,62
Mental depression,Palpation reveals a fluctuant sensation.,33
Mental depression,Perianal Pain,33
Mental depression,Skin Swelling,22
Mental depression,Redness and swelling,54
Mental depression,Mental retardation,7
Mental depression,Skeletal Deformation,16
Mental depression,Red urine,20
Mental depression,Purulent discharge from the vagina,38
Mental depression,Purulent nasal discharge,54
Mental depression,Motor Dyscoordination,29
Mental depression,Scrotal erythema,40
Mental depression,Oliguria or anuria,66
Mental depression,"Most of the time, maintain a sitting or lying down position.",54
Mental depression,Oral Ulcer,240
Mental depression,Pupillary white discharge,70
Mental depression,On tiptoes,41
Mental depression,Nasal Stenosis,42
Mental depression,Rhinitis sicca,94
Mental depression,Protrusion of the eyeball from the orbit,5
Mental depression,Stiffness in the limbs and lameness,1
Mental depression,Oily Ear Discharge,31
Mental depression,Photophobia,10
Mental depression,Purulent intracanalicular discharge,20
Mental depression,Tilt the head to one side,2
Mental depression,Purulent Ear Discharge,5
Mental depression,Skin redness,84
Mental depression,Purple tongue,69
Mental depression,Reaction to Rapidly Approaching Objects,34
Mental depression,Rubbing the buttocks,56
Mental depression,Weight Loss,11
Mental depression,There is a sense of fluctuation.,8
Mental depression,Wound erosion,3
Mental depression,Mucosal cyanosis,24
Mental depression,Tenesmus,79
Mental depression,Papule,155
Mental depression,Oral Pain,38
Mental depression,Visible mucous membrane cyanosis,6
Mental depression,Ulcerative Infection,4
Mental depression,Neurological symptoms (such as convulsions),29
Mental depression,Rectal Prolapse,9
Mental depression,Stenosis of the nostrils,4
Mental depression,Scratching one's ears,10
Mental depression,Scratch the eyes,114
Mental depression,Visible mucosal congestion,6
Mental depression,Painful swallowing,1
Mental depression,Whether the muscles have atrophied,19
Mental depression,Skin Odor,68
Mental depression,Spinning in circles,42
Mental depression,Oral Ulcer on the Dorsum of the Tongue,37
Mental depression,The head is held high and unwilling to bow down.,11
Mental depression,Whether the muscle atrophies,5
Mental depression,Mucosal Ulceration,9
Mental depression,Weakness of the limbs,107
Mental depression,Ulceration,99
Mental depression,Oral Ulcer on the Tongue Surface,37
Mental depression,Swelling at the affected area,2
Mental depression,Reduced urine output,13
Mental depression,Mouth Breathing,42
Mental depression,Stiffness of limbs and lameness,1
Mental depression,Purulent ocular discharge (purulent eye),33
Mental depression,Whether the muscles are atrophied,13
Mental depression,Skin Injury,8
Mental depression,Scales,1
Mental depression,Unable to lift one's head when bowing down.,25
Mental depression,Uterine Prolapse,24
Mental depression,Muscle Spasm,9
Mental depression,Progressive emaciation,23
Mental depression,Petechiae,10
Mental depression,Thickening of the skin,12
Mental depression,The tongue turns purple.,5
Mental depression,Skin Itching,24
Mental depression,Non-voiding,8
Mental depression,Tilted Head,30
Mental depression,The feces are hard and dry.,12
Mental depression,Scratching the ears,20
Mental depression,Oily ear discharge,37
Mental depression,Purple Tongue,1
Mental depression,"Most of the time, maintain a sitting or lying down posture.",47
Mental depression,Respiratory Deficit,9
Mental depression,The feces are coated with mucus.,7
Mental depression,The stool is hard and dry.,14
Mental depression,Oral Bloody Secretions,3
Mental depression,Neurological Symptoms,9
Mental depression,Skin injury,13
Mental depression,Sparse hair,19
Mental depression,Sinusitis,1
Mental depression,Palpation elicits crepitus.,3
Mental depression,Powerlessness,12
Mental depression,Vomit can emit phosphorescence in the dark.,6
Mental depression,Mucopurulent ocular discharge,8
Mental depression,On tiptoe,23
Mental depression,Pupillary White Discharge,18
Mental depression,Whether neurological symptoms (such as seizures) are present,15
Mental depression,There are black spots the size of sesame seeds on the skin.,8
Mental depression,There are insect eggs.,25
Mental depression,Purplish tongue,20
Mental depression,Reduced urination,26
Mental depression,The head tilts to one side.,6
Mental depression,Undescended Testes,6
Mental depression,Mucinous stool,27
Mental depression,Miscarriage,17
Mental depression,Sparse hair at the joints,2
Mental depression,Skin itching,7
Mental depression,The tail fur has become very greasy.,5
Mental depression,The color of the fur on the dorsal side of the tail has darkened to a deep brown.,3
Mental depression,Serous Nasal Discharge,2
Mental depression,Pale skin or mucous membranes,1
Mental depression,Superficial Lymph Node Enlargement,7
Mental depression,The tail hair has become very greasy.,12
Mental depression,Postauricular Hair Removal,3
Mental depression,Purulent discharge from the pupil,1
Mental depression,Skin thickening,2
Mental depression,Paroxysmal Abdominal Pain,4
Mental depression,Nodule,14
Mental depression,There are black spots under the chin.,2
Mental depression,Pupillary constriction,31
Mental depression,Undescended Testicles,2
Mental depression,Unpleasant Skin Odor,9
Mental depression,Responsive to rapidly approaching objects,1
Mental depression,Tilting one's head,1
Mental depression,Thoracic breathing,37
Mental depression,Urine appears yellow to dark brown.,3
Mental depression,Presence or absence of lameness,1
Mental depression,Skin Inflammation,2
Mental depression,Skin Ulcer Scar,1
Mental depression,Skin damage,3
Mental depression,The color of the fur on the dorsal side of the tail has darkened to a deep coffee brown.,2
Mental depression,Proptosis of the eyeball,2
Mental depression,Pale visible mucous membranes,4
Mental depression,Redness and Swelling,1
Mental depression,Whether neurological symptoms (such as convulsions) are present,1
